geo_id,timestamp,val
811,2020-03-28,0.00000000
811,2020-03-29,2830.45570337
811,2020-03-30,0.00000000
811,2020-03-31,2583.31180573
811,2020-04-01,0.00000000
811,2020-04-02,2376.99072974
811,2020-04-03,2474.02276101
811,2020-04-04,2715.91526344
811,2020-04-05,0.00000000
811,2020-04-06,0.00000000
811,2020-04-07,7443.10091491
811,2020-04-08,0.00000000
811,2020-04-09,7706.13922425
811,2020-04-10,2698.32703724
811,2020-04-11,0.00000000
811,2020-04-12,2864.50873675
811,2020-04-13,0.00000000
811,2020-04-14,0.00000000
811,2020-04-15,0.00000000
811,2020-04-16,0.00000000
811,2020-04-17,0.00000000
811,2020-04-18,0.00000000
811,2020-04-19,2835.27076836
811,2020-04-20,0.00000000
811,2020-04-21,0.00000000
811,2020-04-22,0.00000000
811,2020-04-23,0.00000000
811,2020-04-24,0.00000000
811,2020-04-25,0.00000000
811,2020-04-26,0.00000000
811,2020-04-27,0.00000000
811,2020-04-28,0.00000000
811,2020-04-29,7545.27162978
811,2020-04-30,0.00000000
811,2020-05-01,0.00000000
811,2020-05-02,0.00000000
811,2020-05-03,0.00000000
811,2020-05-04,0.00000000
811,2020-05-05,2415.45893720
811,2020-05-06,0.00000000
811,2020-05-07,0.00000000
811,2020-05-08,0.00000000
811,2020-05-09,0.00000000
811,2020-05-10,0.00000000
811,2020-05-11,0.00000000
811,2020-05-12,0.00000000
811,2020-05-13,0.00000000
811,2020-05-14,0.00000000
811,2020-05-15,0.00000000
811,2020-05-16,0.00000000
811,2020-05-17,0.00000000
811,2020-05-18,0.00000000
811,2020-05-19,0.00000000
811,2020-05-20,2549.06958960
811,2020-05-21,0.00000000
811,2020-05-22,0.00000000
811,2020-05-23,3151.59155373
811,2020-05-24,0.00000000
811,2020-05-25,0.00000000
811,2020-05-26,0.00000000
811,2020-05-27,0.00000000
811,2020-05-28,0.00000000
811,2020-05-29,0.00000000
811,2020-05-30,0.00000000
811,2020-05-31,2801.90529560
811,2020-06-01,0.00000000
811,2020-06-02,0.00000000
811,2020-06-03,2600.10400416
811,2020-06-04,0.00000000
811,2020-06-05,2666.66666667
811,2020-06-06,0.00000000
811,2020-06-07,0.00000000
811,2020-06-08,0.00000000
811,2020-06-09,0.00000000
811,2020-06-10,0.00000000
811,2020-06-11,0.00000000
811,2020-06-12,0.00000000
811,2020-06-13,0.00000000
811,2020-06-14,0.00000000
811,2020-06-15,5529.44429085
811,2020-06-16,2656.74814028
811,2020-06-17,0.00000000
811,2020-06-18,0.00000000
811,2020-06-19,0.00000000
811,2020-06-20,0.00000000
811,2020-06-21,0.00000000
811,2020-06-22,5647.72632352
811,2020-06-23,0.00000000
811,2020-06-24,0.00000000
811,2020-06-25,5537.85564908
811,2020-06-26,8547.00854701
811,2020-06-27,0.00000000
811,2020-06-28,0.00000000
811,2020-06-29,0.00000000
811,2020-06-30,0.00000000
811,2020-07-01,0.00000000
811,2020-07-02,0.00000000
811,2020-07-03,0.00000000
811,2020-07-04,0.00000000
811,2020-07-05,0.00000000
811,2020-07-06,0.00000000
811,2020-07-07,0.00000000
811,2020-07-08,0.00000000
811,2020-07-09,2877.69784173
811,2020-07-10,0.00000000
811,2020-07-11,0.00000000
811,2020-07-12,0.00000000
811,2020-07-13,0.00000000
811,2020-07-14,0.00000000
811,2020-07-15,0.00000000
811,2020-07-16,0.00000000
811,2020-07-17,0.00000000
811,2020-07-18,0.00000000
811,2020-07-19,0.00000000
811,2020-07-20,0.00000000
811,2020-07-21,0.00000000
811,2020-07-22,0.00000000
811,2020-07-23,2744.99039253
811,2020-07-24,0.00000000
811,2020-07-25,0.00000000
811,2020-07-26,0.00000000
811,2020-07-27,0.00000000
811,2020-07-28,0.00000000
811,2020-07-29,0.00000000
811,2020-07-30,0.00000000
811,2020-07-31,0.00000000
811,2020-08-01,0.00000000
811,2020-08-02,0.00000000
811,2020-08-03,0.00000000
811,2020-08-04,0.00000000
811,2020-08-05,0.00000000
811,2020-08-06,0.00000000
811,2020-08-07,0.00000000
811,2020-08-08,0.00000000
811,2020-08-09,0.00000000
811,2020-08-10,5740.52812859
811,2020-08-11,0.00000000
811,2020-08-12,0.00000000
811,2020-08-13,0.00000000
811,2020-08-14,0.00000000
811,2020-08-15,0.00000000
811,2020-08-16,0.00000000
811,2020-08-17,0.00000000
811,2020-08-18,0.00000000
811,2020-08-19,0.00000000
811,2020-08-20,0.00000000
811,2020-08-21,2736.72687466
